Bad	Good
cinically	clinically
CIRROHSIS	cirrhosis
cjhanhgers	changes
CLARANCE	clearance
CLBBB	complete left bundle branch block
CLEANRANCE	clearance
CLEARAMCE	clearance
CLEARANCED	clearance
clear-cut	clearcut
CLEAREANCE	clearance
CLEARENCE	clearance
CLEARINCE	clearance
CLEARNANCE	clearance
CLEARNCE	clearance
CLERANCE	clearance
CLERENCE	clearance
clincal	clinical
clinian	clinician
CODEBLUE	code blue
coduction	conduction
COFFEEGROUD	coffee ground
colrectal	colorectal
comlexes	complexes
compaible	compatible
COMPAINT	complaint
compatieble	compatible
compeleted	completed
compelxes	complexes
COMPENTATIONS	compensations
competinng	competing
COMPEXES	complexes
complex-	complexes
complexes-	complexes
complexs	complexes
conbsecutive	consecutive
cond disorder	conduction disorder
condction	conduction
condcution	conduction
condider	consider
CONDUCION	conduction
CONDUCRED	conducted
conductiomn	conduction
conductoin	conduction
conducton	conduction
conductred	conducted
conductrion	conduction
configuation	configuration
CONFUSSION	confusion
congestiv~	congestive
CONGRESTION	congestion
conmplexes	complexes
CONORARY	coronary
Consdier	consider
conside	consider
consuder	consider
contactions	contractions
continuuous	continuous
contrations	contractions
copmplexes	complexes
COREVALVE	core valve
coro~	coronary
COROTID	carotid
correlaqte	correlate
correlatiaon	correlation
cosider	consider
coupblets	couplets
coupletes	couplets
CPRESSURE	chest pressure
CPX2MONTHS	chest pain x 2 months
CRADIAC	cardiac
CRAINOTOMY	craniotomy
CRANOTOMY	craniotomy
CRDIVERSION	cardioversion
CRIRIS	crisis
CRISSIS	crisis
criterial	criteria
CRONIC	chronic
CUADRANT	quadrant
cxhange	exchange
CXRAY	chest x-ray
CYCTOSCOPY	cystoscopy
DAILY-ROUTINE	daily routine
DAILY-STAT	daily STAT
ddonor	donor
DEBRILLATOR	defibrillator
DECENDING	descending
defauilt	default
DEFIB	defibrillation
DEFIBRILATOR	defibrillator
DEFRIBILLATOR	defibrillator
defviation	deviation
degee	degree
DEGREEE	degree
DEHISC	dehiscence
DEHYD	dehydrated
DEHYDRTION	dehydration
demencia	dementia
demenitia	dementia
dementhia	dementia
depresion	depression
DEPRESSICE	depression
DEPRESSIION	depression
depressoin	depression
DEPRESSSION	depression
DEPRRESSION	depression
deree	degree
DESAT	desaturation
DESATING	desaturating
DESATTING	desaturating
desease	disease
DEZZENESS	dizziness
DEZZINESS	dizziness
DIALATION	dilation
DICOMFORT	discomfort
DIEASE	disease
diffucult	difficult
DIHESSENCE	dehiscence
dinor	donor
DIOPHORETIC	diaphoretic
Discom	discomfort
DISCOMPFRT	discomfort
DISCONFORT	discomfort
DISDCOMFORT	discomfort
disea	disease
DISEAE	disease
DISRHYTMIA	dysrhythmia
DISRITHMIA	dysrhythmia
DISRYTHMIA	dysrhythmias
DISRYTHMIAS	dysrhythmias
DISSINESS	dizziness
DISSORIENTED	disoriented
distress-moving	distress moving
DISTRUBANCE	disturbance
DITRESS	distress moving
DIZINESS	dizziness
DIZINESSD	dizziness
DIZINEZZ	dizziness
DIZZAINESS	dizziness
DIZZIE	dizzy
DIZZIESS	dizziness
DIZZIINESS	dizziness
DIZZINEDS	dizziness
DIZZINEESS	dizziness
DIZZINES	dizziness
DIZZINESAS	dizziness
DIZZINESSS	dizziness
DIZZINEZZ	dizziness
DIZZINNESS	dizziness
DIZZINSS	dizziness
DIZZNESS	dizziness
DIZZYNESS	dizziness
DIZZZINESS	dizziness
DIZZZY	dizzy
donoer	donor
DRUGTOX	drug toxicity
DSCOMFORT	discomfort
DSPONTANEOUS	spontaneous
DSYPNEA	dyspnea
dual-paced	dual paced
DURINH	during
dxonor	donor
dxose	dose
DYRHTHMIA	dysrhythmia
DYRHTHMIAS	dysrhythmias
DYRHYTHMIAS	dysrhythmias
DYSAPNEA	dyspnea
DYSARRYTHMIA	dysrhythmia
DYSARRYTHMIAS	dysrhythmias
DYSCOMFORT	discomfort
DYSNEA	dyspnea
DYSPHIA	dyspnea
DYSRHTMIAS	dysrhythmias
DYSRHYTMIA	dysrhythmia
DYSRITHMIA	dysrhythmia
dysrrhythmia	dysrhythmia
DYSRRYTHMIA	dysrhythmia
DYSRTHMIAS	dysrhythmias
DYSRUTHMIA	dysrhythmia
DYSRYTHMIA	dysrhythmia
EAKNESS	weakness
eartly	early
EAVAL	evaluation
EBOLISM	embolism
ECALUATE	evaluate
echos	echocardiograms
ectopc	ectopic
ECTOPI	ectopic
ECTO-PIC	ectopic
ectopicC	ectopic
ectopoic	ectopic
ectpic	ectopic
EEVALUATION	evaluation
EFFREN	efferent
EFFUSIO	effusion
EKG s	ECGs
EKGCHANGES	ECG changes
EKGNOW	ECG now
EKG-PREOP	ECG preoperative
EKGs	ECGs
ELAVATED	elevated
ELAVATION	elevation
ELAVUATE	evaluate
ELCTROCUTION	electrocution
elec5trode	electrode
ELECTROLITE	electrolyte
Electromic	electronic
ELEVAED	elevated
elevaqtion	elevation
elevatgion	elevation
elevation-	elevation
ELEVATIONV5	elevation v5
elevatiotion	elevation
ELEVTAED	elevated
elkevation	elevation
ELVALUATE	evaluate
EMEISIS	emesis
EMERG	emergency
EMERGANCY	emergency
EMSIS	emesis
ENCEPHALOPATY	encephalopathy
ENDOCARDINIS	endocarditis
ENDOCARDITID	endocarditis
END-OF	end of
ENOCARADITIS	endocarditis
entricular	ventriculatr
ENZIMES	enzymes
EPIGA	epigastric
EPIGASATRIC	epigastric
EPIGAST	epigastric
EPIGASTR	epigastric
EPIGASTRC	epigastric
EPIGASTRI	epigastric
EPIGASTRICPAIN	epigastric pain
EPIGATRIC	epigastric
EPIGSTRIC	epigastric
EPILEPDICUS	epilepticus
EPILEPS	epilepsy
EPISDOE	episode
episgastric	epigastric
EPIST	epistaxis
EPIXTAXIS	epistaxis
EPLAB	EP Lab
ERBED	ER bed
ERMERGENCY	emergency
escap[e	escape
escapre	escape
Eschemia	ischemia
EVALARRYTHMIA	evaluate arrhythmia
EVALATE	evaluate
EVALAUATION	evaluation
EVALAUTE	evaluate
EVALCP	evaluate chest pain
evall	evaluate
EVALLUATION	evaluation
EVALRHYM	evaluate rhythm
EVALSYNCOPE	evaluate syncope
EVALUAETE	evaluate
EVALUAION	evaluation
evaluat	evaluate
EVALUATIION	evaluation
EVALUATIION'	evaluation
EVALUATIO	evaluation
EVALUATION'	evaluation
EVALUATON	evaluation
EVALUETE	evaluate
EVALUTAE	evaluate
EVALUTE	evaluate
EVALUTION	evaluation
EVAUALTE	evaluate
EVAUATE	evaluate
EVAUATION	evaluation
EVAUL	evaluate
EVAULATE	evaluate
EVAULATION	evaluation
EVLUATION	evaluation
EXACERBATIOM	exacerbation
EXARCERBATION	exacerbation
EXCERBATION	exacerbation
extention	extension
extrasytoles	extrasystoles
EXTRATION	extraction
FACIALL	facial
FAIALED	failed
FAIGUE	vague
FAILLURE	failure
FAILUREPULMONARY	failure pulmonary
FALIURE	failure
fascicuar	fascicular
fasicular	fascicular
FATIGURE	fatigue
FATIRGUE	fatigue
fbrillation	fibrillation
fdlutter	flutter
fedmale	female
FEVRE	fever
FFRACTURE	fracture
FIB SLOW	fibrillation slow
fibillation	fibrillation
FIBRALATION	fibrillation
FIBRILATION	fibrillation
fibrillaion	fibrillation
fibrillatgion	fibrillation
fibrillationwith	fibrillation with
fibrillaton	fibrillation
FIBRILLIATION	fibrillation
fibtillation	fibrillation
first-degree	first degree
FISTU	fistula
FISTULAMALFUNCTIO	fistula malfunction
FLANKPAIN	flank pain
FLIUD	fluid
FLULIKESYMPTOMS	flu-like symptoms
FLUNCTUATIONS	fluctuations
FOLOW	follow
frequen	frequent
frequesnt	frequent
frewuent	frequent
funct	function
FUNTION	function
fusiuon	fusion
ganglioneublastoma	ganglioneuroblastoma
Gastro-esophageal	gastroesophageal
gastropareses	gastroparesis
gastroparesisi	gastroparesis
GEBERALIZED	generalized
GEENRATOR	gnerator
GENERALISED	generalized
giveb	given
graf~	graft
graft~	graft
GRECIOUS	gracious
HAERT	heart
HALUCINATION	hallucination
HARWARE	hardware
HEADACE	headache
HEADCHE	headache
HEARTRATE	heart rate
heart-valve	heart valve
HEMATEMSIS	hematemesis
HEMMRHAGE	hemorrhage
HEMMROIDS	hemorhoids
HEMODYALYSIS	hemodialysis
HEMOPT	hemoptysis
HEMOPTYIS	hemoptysis
hepatpcellular	hepatocellular
HEPERKALEMIA	hyperkalemia
herpesviral	herpes viral
HERPTIC	herpetic
high-grade	high grade
Hodkins	Hodgkins
HPERTENSION	hypertension
HPYPERKYLAMIA	hyperkalemia
HTNSIVE	hypertensive
hx	history
HYPEKALEMIA	hyperkalemia
hyperacuteT	hyperacute T
HYPERGLECEMIA	hyperglycemia
HYPERGLYCAEMI	hyperglycemia
HYPERGLYCEIA	hyperglycemia
HYPERGLYCEMMIA	hyperglycemia
HYPERGYLCEMIA	hyperglycemia
HYPERHALEMIA	hyperkalemia
HYPERK	hyperkalemia
HYPERKAL	hyperkalemia
HYPERKALAMEIA	hyperkalemia
HYPERKALCEMIA	hypercalcemia
HYPERKALIMA	hyperkalemia
HYPERKATEMIA	hyperkalemia
HYPERKELEMIA	hyperkalemia
HYPERLAKEMIA	hyperkalemia
hyperlipidimia	hyperlipidemia
hypertation	hyperaeration
HYPERTENCIVE	hypertensive
HYPERTENION	hypertension
HYPERTENISON	hypertension
hypertens~	hyptertension
HYPERTENSIONN	hyptertension
HYPERTENSON	hypertension
HYPERTENSTION	hypertension
hypertenti	hypertension
HYPERTENTION	hypertension
HYPERTION	hypertension
HYPETENSION	hypertension
HYPOCALEMIA	hypocalcemia
HYPOCCLEMIC	hypocalcemic
HYPOCLYCEMIA	hypocalcemia
HYPOGL	hypoglycemia
HYPOGLCEMIA	hypoglycemia
HYPOGLY	hypoglycemia
HYPOGYLCEMIA	hypoglycemia
HYPOKALCEMIA	hypocalcemia
HYPOKELEMIA	hypokalemia
HYPOKELIMIA	hypokalemia
hypoklemia	hypokalemia
hypomagsemia	hypomagnesemia
HYPONATERMIA	hyponatremia
HYPONUTREMIA	hyponatremia
HYPOT	hypotension
HYPOTEN	hypotension
HYPOTENION	hypotension
HYPOTENISVE	hypotensive
HYPOTENSIO	hypotension
HYPOTENSIOM	hypotension
HYPOTENTION	hypotension
HYPOTHERIA	hypothermia
HYPOTNSION	hypotension
HYPRGLYCEMIA	hyperglycemia
iachemia	ischemia
ICRBBB	incomplete right bundle branch block
icreased	increased
iinfarction	infarction
iinferior	inferior
iischemia	ischemia
imnterpretation	interpretation
imoroved	improved
implantabl~	implantable
IMPLATATION	implantation
IMPLATETION	implantation
impluses	impulses
INAPPORIATE	anappopriate
inatten~	inattention
INC RBBB	incomplete right bundle branch block
INCERION	insertion
INCERTION	insertion
Incompete	incomplete
Indeterinant	indeterminate
indetermeinant	indeterminate
Indeterminant	indeterminate
ineraction	interaction
inermittant	intermittent
infact	infarction
INFAECT	infarct
infarctio	infarction
infarctiojn	infarction
infartction	infarction
INFERCT	infarct
inferiorand	inferior and
Inferior-lateral	inferolateral
INFEROLAT	inferolateral
INFERO-LATERAL	inferolateral
INFETIOUS	infectious
INFILTATES	infiltrates
INFRACTABLE	intractable
infrior	inferior
INFUSSION	infusion
inicated	indicated
INITAL	initial
initi~	initial
innefective	ineffective
INPLANT	implant
INPRECORDIAL	in precordial
INSETION	insertion
INSIFFICIENCY	insufficiency
instrinsic	intrinsic
INSUF	insufficient
INSUFF	insufficient
INSUFFICENCY	insufficiency
INSUFFIENCENY	insufficiency
INSUFICIENCY	insufficiency
intepretation	interprettion
intermentent	intermittent
intermittanr	intermittent
intermittant	intermittent
intermittantly	intermittently
interprettion	interpretation
interv	intervention
INTERVENA	intervene
INTEVAL	interval
INTIAL	initial
intinsic	intrinsic
INTITIAL	initial
INTRACABLE	intractable
inury	injury
inversions	inversion
invertion	inversion
involentary	involuntary
Inwffective	ineffective
IRREG	irregular
irreular	irregular
IRRGEGULAR	irregular
IRRGULAR	irregular
ISCHEMAI	ischemia
ISCHEMIA-	ischemia
ISCHEMIS	ischemia
ISCHERMIA	ischemia
ishifted	is shifted
isslower	is slower
IWMI	inferior wall myocardial infarction
IZZINESS	dizziness
jumctional	junctional
junctiional	junctional
Junctinal	junctional
junctionall	junctional
junctios	junctional
junctonal	junctional
Junctuional	junctional
Kaposi's	Karposi's
kidney~	kidney
kidneyy	kidney
kidnye	kidney
LAD	left axis deviation
LAFB	left anterior fascicular block
LAHB	left anterior hemiblock
LATERIAL	lateral
laterla	lateral
LBBBand	LBBB and
LBBBB	left bundle branch block
LEAD EVAL	lead evaluation
leafds	leads
lenghthened	lengthened
LETARGIC	lethargic
LETHAGIC	lethargic
leukem	leukemia
leyiomyosarcoma	leiomyosarcoma
likey	likely
likley	likely
limphoma	lymphoma
loacalised	localized
LOCA LISED	localized
LOCALISED	localized
longet	longest
LOSSS	loss
lower-outer	outer lower
lukemia	leukemia
LUQPAIN	LUQ pain
LYMPHADEMA	lymphedema
lymphone	lymphoma
LYNPHOMA	lymphoma
MAFUNCTION	malfunction
MALF	malfunction
MALFNCTIONING	malfunctioning
MALFUCNTION	malfunction
MALFUCTION	malfunction
MALFUCTIONING	malfunctioning
MALFUN	malfunction
MALFUNC	malfunction
MALFUNCTI	malfunction
MALFUNCTIO	malfunction
MALFUNTI	malfunction
MALFUNTION	malfunction
MALFUNTIONING	malfunctioning
MALFUNTIONINGICD	malfunctioning ICD
MALFUVCTIONING	malfunctioning
malignaant	malignant
MALIGNANY	malignancy
MALNURISHED	malnourished
MALPODSITION	malposition
MDDICAL	medical
MDEDICAL	medical
MDORDER	MD order
MEDICAT	medication
MEDICATIO	medication
MEDICVAL	medical
memoery	memory
MENINGIOM	meningioma
MENSENTERIC	mesenteric
MESAURE	measure
MESTASTASES	metastases
metastaes	metastases
METASTASESS	metastases
METHODONE	methadone
METHYLPREDNISDONE	methylprednisone
MIGRAIN	migraine
migraino~	migranous
MIGRANE	migraine
MIGRINOSUS	migrainous
Miinor	minor
MINFARCT	infarct
Minornon	minor non
MIRAINE	migraine
MIRANI	Mitrani
MIRTANI	Mitrani
misplaceemnt	misplacement
misplacemen	misplacement
misplacemenmt	misplacement
mis-placement	misplacement
misplacment	misplacement
misposition	malposition
missing-	missing
MITAL	mitral
MITRAINI	Mitrani
MITRALCLIP	mitral clip
MITRIANI	Mitrani
MITRNI	Mitrani
MITROCLIP	mitral clip
MONITER	monitor
MORBITZ	Mobitz
morfology	morphology
morhplogies	morphologies
morpjhology	morphology
mrhythm	rhythm
mrophology	morphology
Mu tifocal	multifocal
mult~	multi
multipl	multiple
Multi-system	multisystem
mutifocal	multifocal
MYLOID	myeloid
N0rmal	normal
Natiive	native
Nausesa	nausea
NEARSYNCOPE	near-syncope
NECKPAIN	nek pain
NEDICAL	medical
NEGRET	neck pain
NEOSSTIGMINE	neostigmine
NEURALG	neuralgia
NEUTOPENIA	neutropenia
NEUTRAPENIC	neutropenic
NEUTROENIC	neutropenic
NEUTRONPENIA	neutropenia
NEUTROP	neutropenia
NEUTRPENIC	neutropenic
NEWPATIENT	new patient
nfarct	infarct
NMEDTRONIC	Medtronic
nnormal	normal
NOCTURAL	nocturnal
nonconduced	nonconducted
non-conducted	nonconducted
non-conucted	nonconducted
nonpacced	nonpaced
non-paced	nonpacced
nonspecfic	nonspecific
Non-specific	nonspecific
Nonspecifice	nonspecific
NONSTEMI	non-STEMI
non-sustained	nonsustained
nonsustaned	nonsustained
norml	normal
nornal	normal
nrmal	normal
nromal	normal
nsr wnl	normal sinus rhythm within normal limits
NSSTCHANGES	NSST changes
nsstw	NSST wave
NSTEMI	non-STEMI
NSTGMI	non-STEMI
NTEMI	non-STEMI
NUASEA	nausea
NUETROPENIC	neutropenic
NUMBESS	numbness
oA FIB	atrial fibrillation
OBST	obstruct
OBSTR	obstruct
obstru	obstruct
occasiponal	occasional
occasonal	occasional
OCCASSIONAL	occasional
